iter	Passed	Remaining
811	86458	20017
812	86587	19916
813	86687	19808
814	86797	19702
815	86894	19593
816	86995	19486
817	87093	19377
818	87194	19270
819	87290	19161
820	87390	19053
821	87507	18949
822	87617	18843
823	87717	18735
824	87818	18628
825	87932	18523
826	88072	18423
827	88199	18321
828	88303	18214
829	88420	18110
830	88585	18015
831	88703	17911
832	88863	17815
833	88986	17711
834	89092	17605
835	89207	17499
836	89352	17400
837	89456	17293
838	89580	17189
839	89680	17081
840	89779	16973
841	89883	16866
842	90033	16767
843	90179	16668
844	90308	16565
845	90431	16461
846	90542	16355
847	90646	16248
848	90747	16139
849	90846	16031
850	90947	15923
851	91049	15816
852	91146	15707
853	91247	15599
854	91349	15491
855	91450	15384
856	91585	15282
857	91685	15174
858	91802	15068
859	91943	14967
860	92051	14860
861	92166	14755
862	92289	14650
863	92401	14544
864	92533	14441
865	92639	14334
866	92750	14228
867	92856	14121
868	92964	14014
869	93071	13907
870	93176	13799
871	93277	13692
872	93393	13586
873	93517	13481
874	93650	13378
875	93767	13273
876	93925	13173
877	94057	13069
878	94173	12963
879	94336	12864
880	94494	12763
881	94622	12659
882	94723	12551
883	94822	12442
884	94924	12334
885	95025	12226
886	95124	12118
887	95226	12010
888	95323	11902
889	95432	11795
890	95618	11697
891	95815	11601
892	95982	11500
893	96098	11394
894	96211	11287
895	96334	11181
896	96451	11075
897	96579	10970
898	96681	10861
899	96787	10754
900	96884	10645
901	96983	10537
902	97085	10428
903	97188	10320
904	97302	10214
905	97398	10105
906	97511	9998
907	97631	9892
908	97736	9784
909	97832	9675
910	97946	9568
911	98068	9462
912	98184	9356
913	98308	9250
914	98411	9142
915	98553	9037
916	98681	8931
917	98800	8825
918	98921	8718
919	99038	8612
920	99163	8505
921	99284	8399
922	99382	8290
923	99497	8183
924	99629	8078
925	99763	7972
926	99892	7866
927	100061	7763
928	100193	7657
929	100331	7551
930	100443	7444
931	100569	7337
932	100677	7229
933	100783	7121
934	100907	7014
935	101038	6908
936	101148	6800
937	101249	6692
938	101351	6584
939	101464	6476
940	101586	6369
941	101694	6261
942	101811	6154
943	101941	6047
944	102050	5939
945	102153	5831
946	102297	5725
947	102395	5616
948	102525	5509
949	102636	5401
950	102748	5294
951	102864	5186
952	102990	5079
953	103091	4970
954	103192	4862
955	103323	4755
956	103444	4647
957	103612	4542
958	103738	4435
959	103878	4328
960	104056	4222
961	104178	4115
962	104304	4007
963	104414	3899
964	104560	3792
965	104696	3684
966	104873	3578
967	105028	3472
968	105146	3363
969	105262	3255
970	105362	3146
971	105490	3038
972	105606	2930
973	105711	2821
974	105854	2714
975	105988	2606
976	106135	2498
977	106280	2390
978	106380	2281
979	106494	2173
980	106613	2064
981	106716	1956
982	106816	1847
983	106940	1738
984	107074	1630
985	107174	1521
986	107275	1412
987	107374	1304
988	107486	1195
989	107606	1086
990	107718	978
991	107907	870
992	108017	761
993	108165	652
994	108308	544
995	108457	435
996	108593	326
997	108710	217
998	108846	108
999	108956	0
